case,height,occupied,strategy,active_records,width,max_bucket,proofs_checked,materialized_hash_nodes,passed,check_runtime_ms
exhaustive_h0_mask0,0,0,activebalance,0,0,0,0,0,True,0.12139999307692051
exhaustive_h0_mask1,0,1,activebalance,0,0,0,1,1,True,0.09330001194030046
exhaustive_h1_mask0,1,0,activebalance,0,0,0,0,0,True,0.03799994010478258
exhaustive_h1_mask1,1,1,activebalance,0,0,0,1,2,True,0.37160003557801247
exhaustive_h1_mask2,1,1,activebalance,0,0,0,1,2,True,0.06180000491440296
exhaustive_h1_mask3,1,2,activebalance,2,1,2,2,3,True,0.26950007304549217
exhaustive_h2_mask0,2,0,activebalance,0,0,0,0,0,True,0.03390002530068159
exhaustive_h2_mask1,2,1,activebalance,0,0,0,1,3,True,0.06009999196976423
exhaustive_h2_mask2,2,1,activebalance,0,0,0,1,3,True,0.056299963034689426
exhaustive_h2_mask3,2,2,activebalance,2,1,2,2,4,True,0.1984999980777502
exhaustive_h2_mask4,2,1,activebalance,0,0,0,1,3,True,0.06150000263005495
exhaustive_h2_mask5,2,2,activebalance,2,1,2,2,5,True,0.17849996220320463
exhaustive_h2_mask6,2,2,activebalance,2,1,2,2,5,True,0.17220003064721823
exhaustive_h2_mask7,2,3,activebalance,4,2,2,3,6,True,0.2888999879360199
exhaustive_h2_mask8,2,1,activebalance,0,0,0,1,3,True,0.05789997521787882
exhaustive_h2_mask9,2,2,activebalance,2,1,2,2,5,True,0.15680002979934216
exhaustive_h2_mask10,2,2,activebalance,2,1,2,2,5,True,0.15569990500807762
exhaustive_h2_mask11,2,3,activebalance,4,2,2,3,6,True,0.25589996948838234
exhaustive_h2_mask12,2,2,activebalance,2,1,2,2,4,True,0.17959997057914734
exhaustive_h2_mask13,2,3,activebalance,4,2,2,3,6,True,0.24159997701644897
exhaustive_h2_mask14,2,3,activebalance,4,2,2,3,6,True,0.21490000654011965
exhaustive_h2_mask15,2,4,activebalance,6,2,3,4,7,True,0.29340002220124006
exhaustive_h3_mask0,3,0,activebalance,0,0,0,0,0,True,0.030499999411404133
exhaustive_h3_mask1,3,1,activebalance,0,0,0,1,4,True,0.05619996227324009
exhaustive_h3_mask2,3,1,activebalance,0,0,0,1,4,True,0.05370005965232849
exhaustive_h3_mask3,3,2,activebalance,2,1,2,2,5,True,0.15119998715817928
exhaustive_h3_mask4,3,1,activebalance,0,0,0,1,4,True,0.05830009467899799
exhaustive_h3_mask5,3,2,activebalance,2,1,2,2,6,True,0.15119998715817928
exhaustive_h3_mask6,3,2,activebalance,2,1,2,2,6,True,0.215300009585917
exhaustive_h3_mask7,3,3,activebalance,4,2,2,3,7,True,0.5486999871209264
exhaustive_h3_mask8,3,1,activebalance,0,0,0,1,4,True,0.05249993409961462
exhaustive_h3_mask9,3,2,activebalance,2,1,2,2,6,True,0.1455999445170164
exhaustive_h3_mask10,3,2,activebalance,2,1,2,2,6,True,0.4904000088572502
exhaustive_h3_mask11,3,3,activebalance,4,2,2,3,7,True,0.4249000921845436
exhaustive_h3_mask12,3,2,activebalance,2,1,2,2,5,True,0.14460005331784487
exhaustive_h3_mask13,3,3,activebalance,4,2,2,3,7,True,0.22660009562969208
exhaustive_h3_mask14,3,3,activebalance,4,2,2,3,7,True,0.19890000112354755
exhaustive_h3_mask15,3,4,activebalance,6,2,3,4,8,True,0.25889999233186245
exhaustive_h3_mask16,3,1,activebalance,0,0,0,1,4,True,0.04600000102072954
exhaustive_h3_mask17,3,2,activebalance,2,1,2,2,7,True,0.11769996490329504
exhaustive_h3_mask18,3,2,activebalance,2,1,2,2,7,True,0.11449994053691626
exhaustive_h3_mask19,3,3,activebalance,4,2,2,3,8,True,0.1846000086516142
exhaustive_h3_mask20,3,2,activebalance,2,1,2,2,7,True,0.11589995119720697
exhaustive_h3_mask21,3,3,activebalance,4,2,2,3,9,True,0.18610002007335424
exhaustive_h3_mask22,3,3,activebalance,4,2,2,3,9,True,0.20779995247721672
exhaustive_h3_mask23,3,4,activebalance,6,3,2,4,10,True,0.25779998395591974
exhaustive_h3_mask24,3,2,activebalance,2,1,2,2,7,True,0.14100002590566874
exhaustive_h3_mask25,3,3,activebalance,4,2,2,3,9,True,0.18530001398175955
exhaustive_h3_mask26,3,3,activebalance,4,2,2,3,9,True,0.17779995687305927
exhaustive_h3_mask27,3,4,activebalance,6,3,2,4,10,True,0.25859999004751444
exhaustive_h3_mask28,3,3,activebalance,4,2,2,3,8,True,0.1748999347910285
exhaustive_h3_mask29,3,4,activebalance,6,3,2,4,10,True,0.27089996729046106
exhaustive_h3_mask30,3,4,activebalance,6,3,2,4,10,True,0.25459995958954096
exhaustive_h3_mask31,3,5,activebalance,8,3,3,5,11,True,0.3173999721184373
exhaustive_h3_mask32,3,1,activebalance,0,0,0,1,4,True,0.0439999857917428
exhaustive_h3_mask33,3,2,activebalance,2,1,2,2,7,True,0.11570006608963013
exhaustive_h3_mask34,3,2,activebalance,2,1,2,2,7,True,0.16090006101876497
exhaustive_h3_mask35,3,3,activebalance,4,2,2,3,8,True,0.17809995915740728
exhaustive_h3_mask36,3,2,activebalance,2,1,2,2,7,True,0.11329993139952421
exhaustive_h3_mask37,3,3,activebalance,4,2,2,3,9,True,0.17779995687305927
exhaustive_h3_mask38,3,3,activebalance,4,2,2,3,9,True,0.17580005805939436
exhaustive_h3_mask39,3,4,activebalance,6,3,2,4,10,True,0.2463000128045678
exhaustive_h3_mask40,3,2,activebalance,2,1,2,2,7,True,0.2297000028192997
exhaustive_h3_mask41,3,3,activebalance,4,2,2,3,9,True,0.25049992837011814
exhaustive_h3_mask42,3,3,activebalance,4,2,2,3,9,True,0.19699998665601015
exhaustive_h3_mask43,3,4,activebalance,6,3,2,4,10,True,0.27279998175799847
exhaustive_h3_mask44,3,3,activebalance,4,2,2,3,8,True,0.4330000374466181
exhaustive_h3_mask45,3,4,activebalance,6,3,2,4,10,True,0.43210003059357405
exhaustive_h3_mask46,3,4,activebalance,6,3,2,4,10,True,0.30529999639838934
exhaustive_h3_mask47,3,5,activebalance,8,3,3,5,11,True,0.3423000453040004
exhaustive_h3_mask48,3,2,activebalance,2,1,2,2,5,True,0.11799996718764305
exhaustive_h3_mask49,3,3,activebalance,4,2,2,3,8,True,0.179499969817698
exhaustive_h3_mask50,3,3,activebalance,4,2,2,3,8,True,0.17509993631392717
exhaustive_h3_mask51,3,4,activebalance,6,2,3,4,9,True,0.2362000523135066
exhaustive_h3_mask52,3,3,activebalance,4,2,2,3,8,True,0.4585999995470047
exhaustive_h3_mask53,3,4,activebalance,6,2,3,4,10,True,0.2277999883517623
exhaustive_h3_mask54,3,4,activebalance,6,2,3,4,10,True,0.21980004385113716
exhaustive_h3_mask55,3,5,activebalance,8,3,3,5,11,True,0.47720002476125956
exhaustive_h3_mask56,3,3,activebalance,4,2,2,3,8,True,0.19459996838122606
exhaustive_h3_mask57,3,4,activebalance,6,2,3,4,10,True,0.2277999883517623
exhaustive_h3_mask58,3,4,activebalance,6,2,3,4,10,True,0.228899996727705
exhaustive_h3_mask59,3,5,activebalance,8,3,3,5,11,True,0.3388000186532736
exhaustive_h3_mask60,3,4,activebalance,6,2,3,4,9,True,0.2253999700769782
exhaustive_h3_mask61,3,5,activebalance,8,3,3,5,11,True,0.3497999859973788
exhaustive_h3_mask62,3,5,activebalance,8,3,3,5,11,True,0.33469998743385077
exhaustive_h3_mask63,3,6,activebalance,10,3,4,6,12,True,0.3622999647632241
exhaustive_h3_mask64,3,1,activebalance,0,0,0,1,4,True,0.04429998807609081
exhaustive_h3_mask65,3,2,activebalance,2,1,2,2,7,True,0.11429993901401758
exhaustive_h3_mask66,3,2,activebalance,2,1,2,2,7,True,0.12879993300884962
exhaustive_h3_mask67,3,3,activebalance,4,2,2,3,8,True,0.31130004208534956
exhaustive_h3_mask68,3,2,activebalance,2,1,2,2,7,True,0.13560010120272636
exhaustive_h3_mask69,3,3,activebalance,4,2,2,3,9,True,0.2882999833673239
exhaustive_h3_mask70,3,3,activebalance,4,2,2,3,9,True,0.23720005992799997
exhaustive_h3_mask71,3,4,activebalance,6,3,2,4,10,True,0.3746000584214926
exhaustive_h3_mask72,3,2,activebalance,2,1,2,2,7,True,0.3197999903932214
exhaustive_h3_mask73,3,3,activebalance,4,2,2,3,9,True,0.32190000638365746
exhaustive_h3_mask74,3,3,activebalance,4,2,2,3,9,True,0.2114999806508422
exhaustive_h3_mask75,3,4,activebalance,6,3,2,4,10,True,0.27219997718930244
exhaustive_h3_mask76,3,3,activebalance,4,2,2,3,8,True,0.1903000520542264
exhaustive_h3_mask77,3,4,activebalance,6,3,2,4,10,True,0.26190001517534256
exhaustive_h3_mask78,3,4,activebalance,6,3,2,4,10,True,0.27489999774843454
exhaustive_h3_mask79,3,5,activebalance,8,3,3,5,11,True,0.3252999158576131
exhaustive_h3_mask80,3,2,activebalance,2,1,2,2,6,True,0.12039998546242714
exhaustive_h3_mask81,3,3,activebalance,4,2,2,3,9,True,0.18850003834813833
exhaustive_h3_mask82,3,3,activebalance,4,2,2,3,9,True,0.19160006195306778
exhaustive_h3_mask83,3,4,activebalance,6,2,3,4,10,True,0.2383999526500702
exhaustive_h3_mask84,3,3,activebalance,4,2,2,3,9,True,0.18720002844929695
exhaustive_h3_mask85,3,4,activebalance,6,2,3,4,11,True,0.2421000972390175
exhaustive_h3_mask86,3,4,activebalance,6,2,3,4,11,True,1.2606000527739525
exhaustive_h3_mask87,3,5,activebalance,8,3,3,5,12,True,0.35500002559274435
exhaustive_h3_mask88,3,3,activebalance,4,2,2,3,9,True,0.1810999820008874
exhaustive_h3_mask89,3,4,activebalance,6,2,3,4,11,True,0.41340000461786985
exhaustive_h3_mask90,3,4,activebalance,6,2,3,4,11,True,0.2604000037536025
exhaustive_h3_mask91,3,5,activebalance,8,3,3,5,12,True,0.35149999894201756
exhaustive_h3_mask92,3,4,activebalance,6,2,3,4,10,True,0.32739993184804916
exhaustive_h3_mask93,3,5,activebalance,8,3,3,5,12,True,0.5680000176653266
exhaustive_h3_mask94,3,5,activebalance,8,3,3,5,12,True,0.5273000570014119
exhaustive_h3_mask95,3,6,activebalance,10,3,4,6,13,True,0.430600019171834
exhaustive_h3_mask96,3,2,activebalance,2,1,2,2,6,True,0.12399989645928144
exhaustive_h3_mask97,3,3,activebalance,4,2,2,3,9,True,0.19200006499886513
exhaustive_h3_mask98,3,3,activebalance,4,2,2,3,9,True,0.18710002768784761
exhaustive_h3_mask99,3,4,activebalance,6,2,3,4,10,True,0.23769994731992483
exhaustive_h3_mask100,3,3,activebalance,4,2,2,3,9,True,0.18770003225654364
exhaustive_h3_mask101,3,4,activebalance,6,2,3,4,11,True,0.2397999633103609
exhaustive_h3_mask102,3,4,activebalance,6,2,3,4,11,True,0.23209990467876196
exhaustive_h3_mask103,3,5,activebalance,8,3,3,5,12,True,0.3470000810921192
exhaustive_h3_mask104,3,3,activebalance,4,2,2,3,9,True,0.18089998047798872
exhaustive_h3_mask105,3,4,activebalance,6,2,3,4,11,True,0.3244000254198909
exhaustive_h3_mask106,3,4,activebalance,6,2,3,4,11,True,0.3032000968232751
exhaustive_h3_mask107,3,5,activebalance,8,3,3,5,12,True,0.3972999984398484
exhaustive_h3_mask108,3,4,activebalance,6,2,3,4,10,True,0.26659993454813957
exhaustive_h3_mask109,3,5,activebalance,8,3,3,5,12,True,0.38950005546212196
exhaustive_h3_mask110,3,5,activebalance,8,3,3,5,12,True,0.40140002965927124
exhaustive_h3_mask111,3,6,activebalance,10,3,4,6,13,True,0.7371999090537429
exhaustive_h3_mask112,3,3,activebalance,4,2,2,3,7,True,0.25729998014867306
exhaustive_h3_mask113,3,4,activebalance,6,3,2,4,10,True,0.8057999657467008
exhaustive_h3_mask114,3,4,activebalance,6,3,2,4,10,True,0.4015999147668481
exhaustive_h3_mask115,3,5,activebalance,8,3,3,5,11,True,0.4592000041157007
exhaustive_h3_mask116,3,4,activebalance,6,3,2,4,10,True,0.3239000216126442
exhaustive_h3_mask117,3,5,activebalance,8,3,3,5,12,True,0.638199970126152
exhaustive_h3_mask118,3,5,activebalance,8,3,3,5,12,True,0.4907000111415982
exhaustive_h3_mask119,3,6,activebalance,10,3,4,6,13,True,0.534999999217689
exhaustive_h3_mask120,3,4,activebalance,6,3,2,4,10,True,0.35610003396868706
exhaustive_h3_mask121,3,5,activebalance,8,3,3,5,12,True,0.6480999290943146
exhaustive_h3_mask122,3,5,activebalance,8,3,3,5,12,True,0.4789999220520258
exhaustive_h3_mask123,3,6,activebalance,10,3,4,6,13,True,0.45219995081424713
exhaustive_h3_mask124,3,5,activebalance,8,3,3,5,11,True,0.4143000114709139
exhaustive_h3_mask125,3,6,activebalance,10,3,4,6,13,True,0.7035000016912818
exhaustive_h3_mask126,3,6,activebalance,10,3,4,6,13,True,0.6558999884873629
exhaustive_h3_mask127,3,7,activebalance,12,3,5,7,14,True,0.6767999147996306
exhaustive_h3_mask128,3,1,activebalance,0,0,0,1,4,True,0.07159996312111616
exhaustive_h3_mask129,3,2,activebalance,2,1,2,2,7,True,0.18119998276233673
exhaustive_h3_mask130,3,2,activebalance,2,1,2,2,7,True,0.1713000237941742
exhaustive_h3_mask131,3,3,activebalance,4,2,2,3,8,True,0.25319994892925024
exhaustive_h3_mask132,3,2,activebalance,2,1,2,2,7,True,0.15490001533180475
exhaustive_h3_mask133,3,3,activebalance,4,2,2,3,9,True,0.24740002118051052
exhaustive_h3_mask134,3,3,activebalance,4,2,2,3,9,True,0.2452000044286251
exhaustive_h3_mask135,3,4,activebalance,6,3,2,4,10,True,0.3515999997034669
exhaustive_h3_mask136,3,2,activebalance,2,1,2,2,7,True,0.1531000016257167
exhaustive_h3_mask137,3,3,activebalance,4,2,2,3,9,True,0.24079997092485428
exhaustive_h3_mask138,3,3,activebalance,4,2,2,3,9,True,0.26570004411041737
exhaustive_h3_mask139,3,4,activebalance,6,3,2,4,10,True,0.36800000816583633
exhaustive_h3_mask140,3,3,activebalance,4,2,2,3,8,True,0.2578999847173691
exhaustive_h3_mask141,3,4,activebalance,6,3,2,4,10,True,0.36750000435858965
exhaustive_h3_mask142,3,4,activebalance,6,3,2,4,10,True,0.3958999877795577
exhaustive_h3_mask143,3,5,activebalance,8,3,3,5,11,True,6.8159999791532755
exhaustive_h3_mask144,3,2,activebalance,2,1,2,2,6,True,0.2573000965639949
exhaustive_h3_mask145,3,3,activebalance,4,2,2,3,9,True,0.33660000190138817
exhaustive_h3_mask146,3,3,activebalance,4,2,2,3,9,True,0.3266999265179038
exhaustive_h3_mask147,3,4,activebalance,6,2,3,4,10,True,0.4564999835565686
exhaustive_h3_mask148,3,3,activebalance,4,2,2,3,9,True,0.30670000705868006
exhaustive_h3_mask149,3,4,activebalance,6,2,3,4,11,True,0.5700000328943133
exhaustive_h3_mask150,3,4,activebalance,6,2,3,4,11,True,0.4369000671431422
exhaustive_h3_mask151,3,5,activebalance,8,3,3,5,12,True,0.6139000179246068
exhaustive_h3_mask152,3,3,activebalance,4,2,2,3,9,True,0.32079999800771475
exhaustive_h3_mask153,3,4,activebalance,6,2,3,4,11,True,0.3999000182375312
exhaustive_h3_mask154,3,4,activebalance,6,2,3,4,11,True,0.38700003642588854
exhaustive_h3_mask155,3,5,activebalance,8,3,3,5,12,True,0.5922999698668718
exhaustive_h3_mask156,3,4,activebalance,6,2,3,4,10,True,0.3861000295728445
exhaustive_h3_mask157,3,5,activebalance,8,3,3,5,12,True,0.6162999197840691
exhaustive_h3_mask158,3,5,activebalance,8,3,3,5,12,True,0.6093999836593866
exhaustive_h3_mask159,3,6,activebalance,10,3,4,6,13,True,0.6773999193683267
exhaustive_h3_mask160,3,2,activebalance,2,1,2,2,6,True,0.21570001263171434
exhaustive_h3_mask161,3,3,activebalance,4,2,2,3,9,True,0.34650007728487253
exhaustive_h3_mask162,3,3,activebalance,4,2,2,3,9,True,0.3415000392124057
exhaustive_h3_mask163,3,4,activebalance,6,2,3,4,10,True,0.46749995090067387
exhaustive_h3_mask164,3,3,activebalance,4,2,2,3,9,True,0.3212000010535121
exhaustive_h3_mask165,3,4,activebalance,6,2,3,4,11,True,0.38330000825226307
exhaustive_h3_mask166,3,4,activebalance,6,2,3,4,11,True,0.6362999556586146
exhaustive_h3_mask167,3,5,activebalance,8,3,3,5,12,True,0.5914000794291496
exhaustive_h3_mask168,3,3,activebalance,4,2,2,3,9,True,0.27790002059191465
exhaustive_h3_mask169,3,4,activebalance,6,2,3,4,11,True,0.3556999145075679
exhaustive_h3_mask170,3,4,activebalance,6,2,3,4,11,True,0.34579995553940535
exhaustive_h3_mask171,3,5,activebalance,8,3,3,5,12,True,0.5588000640273094
exhaustive_h3_mask172,3,4,activebalance,6,2,3,4,10,True,0.3845000173896551
exhaustive_h3_mask173,3,5,activebalance,8,3,3,5,12,True,0.636699958704412
exhaustive_h3_mask174,3,5,activebalance,8,3,3,5,12,True,0.6701000966131687
exhaustive_h3_mask175,3,6,activebalance,10,3,4,6,13,True,0.8979999693110585
